"","TranscritID","Weight formula","Weight error","mRNA formula","mRNA error","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"11","Acc00970.1","Double sigmoid",0.132975667333564,"3_deg_log",0.928268700017201,0.0803262768886996,13327.9822664575,3.93967801396739,125873.43315836,0.758625277455226,0,0.365393493031498,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"12","Acc01326.1","Double sigmoid",0.132975667333564,"3_deg_log",0.436074704699026,0.119973195816244,3501.19022054399,2.64343710198523,167274.953356735,5.73191099885525,2.41017472974621,0.112887677299469,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"13","Acc01334.1","Double sigmoid",0.132975667333564,"3_deg_log",0.52253188170602,0.499054462852147,44132.1015101166,1.88327082203405,713681.29038323,8.0704480600858,3.34140466791247,0.160834915604574,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"14","Acc01368.1","Double sigmoid",0.132975667333564,"3_deg_log",0.524164581814442,0.0152525496877662,932.517802578678,1.5620480097248,263423.018818312,4.3086283954227,2.80547375184056,0.35597323934967,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"15","Acc01370.1","Double sigmoid",0.132975667333564,"3_deg_log",0.443108612505621,0.821467451988935,17413.8633805931,3.56847900414414,104125.377044053,4.91192599243028,1.98447576408689,0.163527723735881,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"16","Acc01663.1","Double sigmoid",0.132975667333564,"3_deg_log",0.454114166878564,0.277293802308504,11513.7086595381,4.14314637884709,284690.306621444,6.85642306382635,3.98870717514484,0.141118693948943,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"17","Acc01672.1","Double sigmoid",0.132975667333564,"3_deg_log",0.424354596712295,0.26180297390726,14611.963611259,3.31648661650955,210504.672275139,3.77161829095579,1.9234915497555,0.0917515314765037,8,"Excellent fit",10,"Optimisation converges to 3 indentical values"
"18","Acc01717.1","Double sigmoid",0.132975667333564,"3_deg_log",0.95440488470323,2.93950015849537,125723.075644978,1.88193377706232,269569.311317609,6.30273344235717,1.14916536497686,0.166364375297978,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"19","Acc01804.1","Double sigmoid",0.132975667333564,"3_deg_log",0.443275287722146,0.316569663734572,41525.7163178135,2.44757831164049,1041202.18040922,7.93756383656782,3.66307557222664,0.24028560482835,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"20","Acc01834.1","Double sigmoid",0.132975667333564,"3_deg_log",0.553272930223705,3.10589011026276,13278.0114176181,1.40232673280161,64152.9861868596,15.0061721649983,6.94993542753631,0.133788935968947,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"21","Acc02038.1","Double sigmoid",0.132975667333564,"3_deg_log",0.440440574335992,0.156249432295807,67418.8697708287,2.13517607049417,3423298.65432912,7.93380952745317,3.49832694228512,0.208994690441987,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"22","Acc02434.1","Double sigmoid",0.132975667333564,"3_deg_log",0.467243432814537,0.161003582964196,22155.4752715231,3.37964725179278,1096531.2519484,7.96847994603053,4.81937796138959,0.161981878056161,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"23","Acc02632.1","Double sigmoid",0.132975667333564,"3_deg_log",0.587004447724563,0.881412769389359,2092.19094222679,2.04351707536043,20392.3581512554,8.59103464684121,6.88325663639584,0.449666371519228,1,"Inaccurate fit",8,"Optimisation nearly converges to 3 identical values"
"24","Acc02677.1","Double sigmoid",0.132975667333564,"3_deg_log",0.522238917317544,0.62936875872853,21666.3852615274,1.72215734698501,288709.162569811,8.3864717204473,4.44276032713607,0.223238497812687,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"25","Acc02748.1","Double sigmoid",0.132975667333564,"3_deg_log",0.480785131153918,0.229294731166938,34119.5210196851,2.38458124325855,38473.4235334823,0.258554429913945,0.0051507653027945,0.39592033470401,2,"Average fit",10,"Optimisation converges to 3 indentical values"
