"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"2690","Acc25834.1","Double sigmoid","3_deg_log",1.63983230934315,26411.0777475482,1.09655781840712,3.64492208332018,58704.9785382535,1.23878170210253,0.455909469585058,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2691","Acc25855.1","Double sigmoid","3_deg_log",0.431387181079854,5837.14377210878,2.37713364549827,5.6393536938702,76306.6677375368,3.11805767840078,0.197375977018739,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2692","Acc25865.1","Double sigmoid","3_deg_log",0.551369716364644,43292.1311767536,0.84174958615916,0.822271590227439,64562.6491453906,0.333298621657004,0.475571711045497,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2693","Acc25874.1","Double sigmoid","3_deg_log",1.4444829182316,8205.92248428816,2.8235526146545,1.22941700482973,6984.16057065547,0.460634466572627,0.186312929757748,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2694","Acc25875.1","Double sigmoid","3_deg_log",0.107697359398548,9797.98574967961,0.855820249386084,4.50482103520376,409835.232305411,3.82585407568527,0.753387440517457,-6,"Inaccurate fit",6,"Optimisation converges to 2 indentical values"
"2695","Acc25880.1","Double sigmoid","3_deg_log",0.548805143644932,7571.28433484087,1.71158659650546,3.15657415872747,43547.9163351269,1.35669162523904,0.306257895056316,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2696","Acc25881.1","Double sigmoid","3_deg_log",0.270807983427776,33563.4841472962,4.25261374673832,0.0112732992499543,1397.19367159823,0,0.630740408941794,-3,"Inaccurate fit",6,"Optimisation converges to 2 indentical values"
"2697","Acc25883.1","Double sigmoid","3_deg_log",0.453165925574505,31084.9225729323,4.30040441233219,2.78347021754688,190932.175862111,1.25625513336468,0.252579316387821,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2698","Acc25886.1","Double sigmoid","3_deg_log",2.68690507441648,453682.061391909,5.56681386989498,1.52648992574219,257746.767014126,0.507826261236059,0.379913645333745,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2699","Acc25901.1","Double sigmoid","3_deg_log",1.06942955626374,3970.76094815896,3.72452136139098,3.22296949119787,11966.7923125927,1.70226070142596,0.200539674257941,5,"Pretty accurate fit",8,"Optimisation nearly converges to 3 identical values"
