,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00436.t1	149,214,167,117
,Actinidia00437.t1	939,1232,918,1066
,Actinidia00438.t1	72,102,63,45
,Actinidia00439.t1	79,82,38,130
,Actinidia00440.t1	1002,1202,992,1124
,Actinidia00441.t1	19,728,31,4
,Actinidia00442.t1	4688,6117,3722,3382
,Actinidia00443.t6	398,483,322,297
,Actinidia00444.t1	2588,3601,2487,1815
,Actinidia00445.t1	5,4,9,8
,Actinidia00446.t1	1320,1663,1411,933
,Actinidia00447.t1	463,864,398,297
,Actinidia00448.t1	2098,2733,2029,988
,Actinidia00449.t1	145,143,104,154
,Actinidia00450.t1	1046,1472,862,263
,Actinidia00451.t1	9499,11265,7885,4779
,Actinidia00452.t1	4281,5428,3104,2077
,Actinidia00453.t1	2411,2977,2019,487
,Actinidia00454.t1	479,486,350,235
,Actinidia00455.t1	910,1097,710,384
,Actinidia00456.t2	985,1205,859,523
,Actinidia00457.t1	9249,10252,7602,55500
,Actinidia00458.t1	296,395,240,403
,Actinidia00459.t2	1669,2149,1482,1413
,Actinidia00460.t1	900,1421,1034,616
,Actinidia00461.t1	5510,7258,5008,2413
,Actinidia00462.t2	386,526,343,209
,Actinidia00463.t2	880,1084,720,1874
,Actinidia00464.t1	27,53,19,51
,Actinidia00465.t1	680,803,584,1697
,Actinidia00466.t1	2370,3379,2492,1777
,Actinidia00467.t1	2,4,2,4
,Actinidia00468.t1	2074,2624,1924,2053
,Actinidia00469.t1	9,0,5,2
,Actinidia00470.t1	1,1,9,8
,Actinidia00471.t1	3,10,21,8
,Actinidia00472.t1	386,440,333,35
,Actinidia00473.t1	3175,4145,2722,2568
,Actinidia00474.t1	89,71,47,84
,Actinidia00475.t1	34,40,33,17
,Actinidia00476.t1	74,107,50,45
,Actinidia00477.t1	83,90,54,71
,Actinidia00478.t1	1477,1867,1303,885
,Actinidia00479.t1	1688,2240,1454,1738
,Actinidia00480.t1	17,19,8,31
,Actinidia00481.t1	1464,1973,1334,671
,Actinidia00482.t1	1,17,7,1
,Actinidia00483.t1	6968,8266,5138,2718
,Actinidia00484.t1	677,1042,725,322
,Actinidia00485.t1	37,57,24,50
,Actinidia00486.t1	672,636,442,425
,Actinidia00487.t1	181,211,145,93
,Actinidia00488.t1	1,0,0,0
,Actinidia00489.t1	52,99,75,29
,Actinidia00490.t1	0,1,1,4
,Actinidia00491.t1	718,886,609,509
,Actinidia00492.t1	189,275,141,292
,Actinidia00493.t1	5145,6517,4643,2891
,Actinidia00494.t1	675,874,652,545
,Actinidia00495.t1	417,548,351,378
,Actinidia00496.t1	12690,15685,10152,5816
,Actinidia00497.t1	7581,9873,6283,5025
,Actinidia00498.t1	2558,3087,2237,1923
,Actinidia00499.t1	495,775,476,1035
,Actinidia00500.t1	68,167,107,8
,Actinidia00501.t1	0,0,0,2
,Actinidia00502.t1	7971,10872,7179,7186
,Actinidia00503.t1	351,606,378,382
,Actinidia00504.t1	0,5,0,0
,Actinidia00505.t1	0,0,1,4
,Actinidia00506.t1	0,1,1,1
,Actinidia00507.t1	4401,6278,3955,3562
,Actinidia00508.t1	0,0,0,0
,Actinidia00509.t1	1,0,0,2
,Actinidia00510.t1	0,1,0,8
,Actinidia00511.t1	296,389,216,0
,Actinidia00512.t1	683,851,624,476
,Actinidia00513.t1	11515,16455,9482,9085
,Actinidia00514.t1	2105,2795,1930,1616
,Actinidia00515.t1	1977,2587,1672,1352
,Actinidia00516.t1	3116,4061,2634,911
,Actinidia00517.t1	0,5,1,3
,Actinidia00518.t1	2489,3720,2080,2716
,Actinidia00519.t1	1008,1431,1060,1277
,Actinidia00520.t1	4376,5490,3960,6882
,Actinidia00521.t1	760,1038,684,2071
,Actinidia00522.t1	2596,4229,2930,1942
,Actinidia00523.t1	227,290,226,239
,Actinidia00524.t1	6385,8312,5539,3805
,Actinidia00525.t1	924,1081,761,581
,Actinidia00526.t2	2276,2804,1924,1445
,Actinidia00527.t1	1195,1659,1184,1416
,Actinidia00528.t1	39309,55586,38749,46968
,Actinidia00529.t1	13347,13736,9080,193
,Actinidia00530.t1	611,872,592,306
,Actinidia00531.t1	22,11,4,112
,Actinidia00532.t1	2,6,0,0
,Actinidia00533.t1	2022,2324,1538,1473
,Actinidia00534.t1	6277,8899,5631,5329
,Actinidia00535.t2	3125,4534,2930,3366
,Actinidia00536.t1	25607,31286,20449,11286
